month,country,job_count,avg_years,avg_certs,avg_tools,skill_score,avg_sal_usd
2026-02,Hong Kong,3,7.0,3.33,3.33,4.8,91648.0
2026-02,India,21,3.52,2.14,1.95,2.6381,20985.0
2026-02,Singapore,6,5.33,3.33,3.17,4.0833,93121.0
2026-02,UAE,4,4.25,3.25,2.5,3.425,82824.0
2026-02,UK,4,3.75,2.75,2.75,3.15,87312.0
2026-02,USA,3,3.67,2.33,2.0,2.7667,119262.0
2026-03,Hong Kong,1,7.0,5.0,3.0,5.2,145920.0
2026-03,India,4,3.75,3.0,3.25,3.375,34800.0
2026-03,Singapore,2,4.5,2.0,0.5,2.55,109074.0
2026-03,UAE,1,5.0,2.0,5.0,4.1,110976.0
2026-03,UK,1,3.0,2.0,4.0,3.0,95250.0
2026-03,USA,1,3.0,2.0,2.0,2.4,100000.0
