month,country,job_count,avg_years,avg_certs,avg_tools,skill_score,avg_sal_usd
2026-02,Hong Kong,3,7.0,3.33,3.33,4.8,91648.0
2026-02,India,21,3.52,2.14,1.95,2.6381,20985.0
2026-02,Singapore,6,5.33,3.33,3.17,4.0833,93121.0
2026-02,UAE,4,4.25,3.25,2.5,3.425,82824.0
2026-02,UK,4,3.75,2.75,2.75,3.15,87312.0
2026-02,USA,3,3.67,2.33,2.0,2.7667,119262.0
2026-03,Hong Kong,1,7.0,5.0,3.0,5.2,145920.0
2026-03,India,23,4.09,3.17,2.26,3.2652,30657.0
2026-03,Other,1,0.0,0.0,0.0,0.0,
2026-03,Singapore,4,4.5,2.75,2.5,3.375,105178.0
2026-03,UAE,2,5.5,3.5,4.5,4.6,116688.0
2026-03,UK,2,5.5,2.5,3.5,4.0,111125.0
2026-03,USA,2,3.0,2.5,2.0,2.55,105000.0
2026-04,Australia,1,4.0,2.0,3.0,3.1,87075.0
2026-04,India,15,4.73,3.13,2.0,3.4333,46760.0
2026-04,Singapore,8,4.75,2.88,2.12,3.4,115474.0
2026-04,UAE,3,5.67,3.67,0.67,3.5667,104448.0
2026-04,UK,2,5.5,4.0,1.5,3.85,112712.0
2026-04,USA,1,6.0,3.0,4.0,4.5,147500.0
